name,atlasName,cohortId,atlasId
"Neck pain cohort: First occurrence of ""neck pain"" concept Without descendants","[PL 24134003] Neck pain cohort: First occurrence of ""neck pain"" concept Without descendants",24134003,18994
'Hypoglycemia disorder' incident cohort: First occurrence + descendants with >=365d prior observation,[PL 24609003] 'Hypoglycemia disorder' incident cohort: First occurrence + descendants with >=365d prior observation,24609003,17831
Dysphagia incident cohort: First occurrence of Dysphagia and Difficulty swallowing descendants with >=365d prior observation,[PL 31317003] Dysphagia incident cohort: First occurrence of Dysphagia and Difficulty swallowing descendants with >=365d prior observation,31317003,17871
"Nausea Events All Events of referent concept ""Nausea + descendants"" with 30 day gap","[PL 31967003] Nausea Events All Events of referent concept ""Nausea + descendants"" with 30 day gap",31967003,18996
Constipation Events: all occurrence of referent concept + descendants with 30 days gap,[PL 75860003] Constipation Events: all occurrence of referent concept + descendants with 30 days gap ,75860003,18997
Osteoarthritis incident cohort: First occurrence of 'osteoarthritis' concept with >=365d prior observation,[PL 80180003] Osteoarthritis incident cohort: First occurrence of 'osteoarthritis' concept  with >=365d prior observation,80180003,18995
Osteoporosis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 80502001] Osteoporosis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,80502001,17613
Rheumatoid arthritis at first diagnosis (no history of Rheumatoid arthritis),[PL 80809003] Rheumatoid arthritis at first diagnosis (no history of Rheumatoid arthritis),80809003,2538
Ulcerative colitis at first diagnosis with no history of ulcerative colitis,[PL 81893003] Ulcerative colitis at first diagnosis with no history of ulcerative colitis,81893003,10605
Psoriatic arthritis,[PL 81931004] Psoriatic arthritis,81931004,16918
Erythema multiforme incident cohort: First occurrence of 'Erythema multiforme or Stevens Johnson Syndrome' concept with >=365d prior observation,[PL 132702003] Erythema multiforme  incident cohort: First occurrence of 'Erythema multiforme or Stevens Johnson Syndrome' concept with >=365d prior observation,132702003,18998
"Sepsis during hospitalization, defined by condition occurrences of 'sepsis' conceptset occurring between start and end of inpatient visit","[PL 132797003] Sepsis during hospitalization, defined by condition occurrences of 'sepsis' conceptset occurring between start and end of inpatient visit",132797003,17728
Thyroiditis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 133444001] Thyroiditis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,133444001,18707
Atopic dermatitis and Eczema at first diagnosis,[PL 133834005] Atopic dermatitis and Eczema at first diagnosis,133834005,17143
Systemic sclerosis or or localized scleroderma at first diagnosis,[PL 134442005] Systemic sclerosis or or localized scleroderma at first diagnosis,134442005,17171
Jaundice referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 137977001] Jaundice referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,137977001,17535
"Chronic lymphoid leukemia, disease referent concept prevalent cohort: First occurrence of updated concept set + descendants (condition and observation domain)","[PL 138379003] Chronic lymphoid leukemia, disease referent concept prevalent cohort: First occurrence of updated concept set + descendants (condition and observation domain)",138379003,17877
Myelodysplastic syndrome referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 138994001] Myelodysplastic syndrome referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,138994001,17589
"Transverse myelitis events, using diagnosis codes from Marrie MSRD 2018","[PL 139803005] Transverse myelitis events, using diagnosis codes from Marrie MSRD 2018",139803005,18538
Psoriasis at first diagnosis (no history of Psoriasis),[PL 140168003] Psoriasis at first diagnosis (no history of Psoriasis),140168003,11643
"Acute myeloid leukemia, disease referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation","[PL 140352001] Acute myeloid leukemia, disease referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation",140352001,17377
Hypothyroidism referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 140673001] Hypothyroidism referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,140673001,17527
Chilblains referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 141456001] Chilblains referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,141456001,18631
"Gastrointestinal bleeding events, defined by condition occurrences of 'Gastrointestinal hemorrhage GI bleeding' conceptset occurring between start and end of inpatient or ER visit","[PL 192671003] Gastrointestinal bleeding events, defined by condition occurrences of 'Gastrointestinal hemorrhage GI bleeding' conceptset occurring between start and end of inpatient or ER visit",192671003,17748
"Primary biliary cirrhosis for first time in patients history, with exclusion of secondary biliary cirrhosis","[PL 192675003] Primary biliary cirrhosis for first time in patients history, with exclusion of secondary biliary cirrhosis",192675003,16923
Low back pain referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 194133001] Low back pain referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,194133001,17551
