name,atlasName,cohortId,atlasId
24134003,"[PL 24134003] Neck pain cohort: First occurrence of ""neck pain"" concept Without descendants",24134003,18994
24609003,[PL 24609003] 'Hypoglycemia disorder' incident cohort: First occurrence + descendants with >=365d prior observation,24609003,17831
31317003,[PL 31317003] Dysphagia incident cohort: First occurrence of Dysphagia and Difficulty swallowing descendants with >=365d prior observation,31317003,17871
31967003,"[PL 31967003] Nausea Events All Events of referent concept ""Nausea + descendants"" with 30 day gap",31967003,18996
75860003,[PL 75860003] Constipation Events: all occurrence of referent concept + descendants with 30 days gap,75860003,18997
80180003,[PL 80180003] Osteoarthritis incident cohort: First occurrence of 'osteoarthritis' concept  with >=365d prior observation,80180003,18995
80502001,[PL 80502001] Osteoporosis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,80502001,17613
80809003,[PL 80809003] Rheumatoid arthritis at first diagnosis (no history of Rheumatoid arthritis),80809003,2538
81893003,[PL 81893003] Ulcerative colitis at first diagnosis with no history of ulcerative colitis,81893003,10605
81931004,[PL 81931004] Psoriatic arthritis,81931004,16918
132702003,[PL 132702003] Erythema multiforme  incident cohort: First occurrence of 'Erythema multiforme or Stevens Johnson Syndrome' concept with >=365d prior observation,132702003,18998
132797003,"[PL 132797003] Sepsis during hospitalization, defined by condition occurrences of 'sepsis' conceptset occurring between start and end of inpatient visit",132797003,17728
133444001,[PL 133444001] Thyroiditis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,133444001,18707
133834005,[PL 133834005] Atopic dermatitis and Eczema at first diagnosis,133834005,17143
134442005,[PL 134442005] Systemic sclerosis or or localized scleroderma at first diagnosis,134442005,17171
137977001,[PL 137977001] Jaundice referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,137977001,17535
138379003,"[PL 138379003] Chronic lymphoid leukemia, disease referent concept prevalent cohort: First occurrence of updated concept set + descendants (condition and observation domain)",138379003,17877
138994001,[PL 138994001] Myelodysplastic syndrome referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,138994001,17589
139803005,"[PL 139803005] Transverse myelitis events, using diagnosis codes from Marrie MSRD 2018",139803005,18538
140168003,[PL 140168003] Psoriasis at first diagnosis (no history of Psoriasis),140168003,11643
140352001,"[PL 140352001] Acute myeloid leukemia, disease referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation",140352001,17377
140673001,[PL 140673001] Hypothyroidism referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,140673001,17527
141456001,[PL 141456001] Chilblains referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,141456001,18631
192671003,"[PL 192671003] Gastrointestinal bleeding events, defined by condition occurrences of 'Gastrointestinal hemorrhage GI bleeding' conceptset occurring between start and end of inpatient or ER visit",192671003,17748
192675003,"[PL 192675003] Primary biliary cirrhosis for first time in patients history, with exclusion of secondary biliary cirrhosis",192675003,16923
193782005,[PL 193782005] End stage renal disease prevalent cohort:  All condition occurrences or observations of 'End stage renal disease' conceptset with either a 2nd diagnosis or observatoin of 'End stage renal disease' or a record of 'Dialysis' in 90d after,193782005,17755
194133001,[PL 194133001] Low back pain referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,194133001,17551
194992001,[PL 194992001] Celiac disease referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,194992001,17433
197320004,"[PL 197320004] Acute kidney injury diagnosis during hospitalization, defined by condition occurrences of 'acute renal failure' conceptset occurring between start and end of inpatient visit",197320004,7382
197494004,"[PL 197494004] Hepatitis C prevalent cohort:  First condition occurrence of 'Hepatitis C' conceptset (with Viral Hepatitis Carrier, Cirrhosis of liver due to chronic hepatitis C)",197494004,17829
197508001,[PL 197508001] Malignant tumor of urinary bladder referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,197508001,17575
198571003,"[PL 198571003] Cardiogenic shock by Vallabhajosyula, All events of Cardiogenic shock during inpatient or ER",198571003,18604
198985001,[PL 198985001] Primary malignant neoplasm of kidney referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,198985001,17633
